Action ID,English category,Japanese category
a001,drinking,（何かを）飲んでいる
a002,eating_meal,ご飯を食べている
a003,eating_snack,食べている（おやつその他）
a004,washing_dish,食器を洗っている
a005,throwing_trash,ゴミを捨てている
a007,washing_hands,手を洗っている
a008,opening_refrigerator_door,冷蔵庫のドアを開ける
a009,pouring_tea_or_coffee,お茶（コーヒー）をいれる
a010,cutting_food,食材を切っている
a011,cooking,料理を作っている
a012,setting_hair,髪をセットしている・髪をブラッシングしている
a013,drying_hair_with_blower,髪を乾かしている（ドライヤーで）
a014,making_up,化粧をしている・口紅を塗っている
a015,manicuring,ネイルをしている
a016,gargling,うがいをしている
a017,brushing_teeth,歯を磨いている
a018,washing_face,顔を洗っている
a019,shaving,髭を剃っている
a021,wearing_glass,メガネをかける
a022,playing_with_toy,遊んでいる（積み木、ママゴトなどの玩具で）
a023,playing_board_game,盤ゲーム（囲碁、将棋、チェス）をしている
a024,using_computer,PCを使っている
a025,listening_to_music_with_headphones,音楽を聴いている（ヘッドセットで）
a026,playing_computer_game,ゲーム機で遊んでいる
a027,taking_photo,写真を撮る
a028,using_smartphone,スマホを操作している
a029,using_tablet,タブレットを使っている
a030,operating_remote_control,家電製品をリモコンで操作する
a031,watching_TV,テレビを見ている
a032,telephoning,電話をしている
a033,gardening,庭仕事している
a034,playing_guitar,ギターを弾いている
a035,playing_piano,ピアノを弾いている
a036,blowing_flute,笛を吹いている
a037,standing_on_chair_or_table_or_stepladder,（椅子・机・脚立に）乗る
a039,throwing,（何かを）投げる
a040,opening_or_closing_container,（容器を）開閉する
a041,smoking,タバコを吸っている
a042,ironing,アイロンをしている
a043,knitting_or_stitching,編み物をしている・刺繍をしている
a044,polishing_shoe,靴を磨いている
a045,wearing_shoes,靴を履く
a046,sewing,裁縫をしている（ミシンを含む）
a048,hanging_out_or_taking_in_laundry,洗濯物を干している・取り入れている
a049,folding_laundry,洗濯物をたたんでいる
a050,wearing_tie,ネクタイを締める
a051,putting_off_cloth,服を脱ぐ
a052,putting_on_cloth,服を着る
a055,housecleaning,掃除をしている（雑巾、モップ、掃除機）
a057,wiping_window,窓を拭いている
a058,drawing_picture,絵を描いている
a059,doing_origami,紙を折っている（折り紙）
a060,reading_newspaper,新聞を読んでいる
a062,studying,勉強している
a063,reading_book,本を読んでいる
a064,writing,文字を書いている
a065,changing_baby_diaper,赤ちゃんにおむつをかえている
a067,bottle-feeding_baby,赤ちゃんにミルクを与えている
a068,holding_someone_on_back,おんぶしている
a069,holding_someone,抱っこしている
a070,feeding_baby,幼児に食事を食べさせている
a072,assisting_in_getting_up,起き上がるのを助ける
a073,assisting_in_walking,寄り添って歩行を助けている
a074,teaching,（何かを）教えている
a076,nodding,頷く
a077,shaking_head,首を横に振る
a078,speaking,話している
a079,hearing,人の話を聞いている
a080,pointing_with_finger,指をさす
a081,caressing_head,（自分以外の）人の頭を撫でている
a082,kissing,キスをする
a083,doing_high_five,ハイタッチする
a084,hugging,ハグをする
a085,stroking_animal,動物をなでる
a086,shaking_hands,握手する
a087,bowing,お辞儀する
a090,giving_massage,（誰かを）マッサージをしている
a091,passing_something,（誰かが誰かに何かを）渡す
a093,doing_paper-rock-scissors,じゃんけんをする
a094,fighting,喧嘩している（掴み合い、殴り合い）
a095,walking_with_stick,杖を使って歩いている
a096,walking,歩いている
a097,going_up_or_down_stairs,階段を上っている・降りている
a100,jumping_on_sofa_or_bed,（ソファやベッドで）飛び跳ねている
a101,baby_crying,赤ちゃんが泣いている
a102,baby_crawling,赤ちゃんが這い這いしている
a103,exercising,エクササイズをしている（腹筋、腕立て、背筋）
a104,dancing,踊っている
a105,running_around,走り回っている
a107,clapping_hands,拍手している
a109,sitting_down,座る
a110,standing_up,立ち上がる
a111,sleeping_on_bed,寝ている（ベッドや布団で）
a112,lying_on_floor,床に横たわっている（四つん這い、仰向け、うつ伏せ）
a115,going_out_of_room,（部屋から）出る
a116,entering_room,（部屋に）入る
a117,being_angry,怒っている
a118,being_surprised,驚いている
a119,crying,泣いている
a120,smiling,喜んでいる・笑っている
